,id,output
0,2055,ฉัน ไม่ มี เวลา หลาย
1,2056,ไม่ รู้ ว่า จะ ใช้ แอป นี้ ยังไง
2,2057,เธอ มี เบอร์โทร ของ ฉัน ไหม
3,2058,เรา มา ลอง ทำ ดู
4,2059,ไป นอน ก่อน นะ
5,2060,เธอ   เป็น   คนดี   มาก
6,2061,พี่ จะ ซื้อ เสื้อ ตัวใหม่
7,2062,เธอ จะ ไม่ ไป เล่น น้ำ เหรอ
8,2063,ถึง แล้ว โทร บอก ด้วย
9,2064,วันนี้ ทำ อะไร กิน อยู่
10,2065,จะ สมัครเรียน คอร์ส ใหม่ ไหม
11,2066,ฝนตก อีกแล้ว จะ ไป ไหน ดี
12,2067,อย่า เกลียด ฉัน
13,2068,เรา จะ ไป ตลาดนัด
14,2069,วันนี้ ทำ อะไร
15,2070,เธอ น่ารัก มาก
16,2071,รถไฟฟ้า หยุด ให้บริการ เมื่อไหร่
17,2072,ใช่ไหม
18,2073,ไม่ค่อย โอเค กับ พฤติกรรม แบบนี้
19,2074,จะ ไป ทอดแห หา ปลา
20,2075,อยากได้   คุณภาพดี
21,2076,สินค้า ตัว นี้ สามารถ กันน้ำ และ ทน ต่อ แรง กระแทก ได้ ไหม
22,2077,ขึ้นรถ   เร็ว ๆ   นะ เดี๋ยว สิ ไป แล้ว
23,2078,จะ ใส่   น้ำแข็ง   เยอะ   ๆ   นะ
24,2079,เธอ จะ ไม่ ไปดู คอนเสิร์ต เหรอ
25,2080,พวกเรา จะ มี ประชุม พรุ่งนี้ เช้า อย่า ลืม มา ตรงเวลา เด้อ
26,2081,พายุ เข้า อีสาน ฝน ตกหนัก หลาย พื้นที่
27,2082,แบบ นั้น ก็ได้ ตามนั้น
28,2083,กินข้าว หรือยัง
29,2084,สินค้า นี้ มี รับประกัน กี่ ปี
30,2085,อาการ ดีขึ้น ไหม
31,2086,พรุ่งนี้ เรา จะ ไป สวนสัตว์
32,2087,เธอ เกลียด ฉัน ไหม
33,2088,ร้าน นี้ รับ บัตรเครดิต หรือ เงินสด
34,2089,ขอ   เปลี่ยน   ห้อง   ได้ ไหม
35,2090,เธอ จะ ไม่ ไป ทำงาน เหรอ
36,2091,อันนี้ คือ อะไร
37,2092,ฉัน จะ กลับบ้าน ก่อน
38,2093,บริการ   ดี   มาก
39,2094,ฉัน จะ พา ไปดู หมอลำ
40,2095,พบ เชื้อ โรคระบาด ใน ฟาร์ม หมู
41,2096,จะ ไป ทำงาน
42,2097,รีบ มา นั่ง กินข้าว หน่อย
43,2098,ช่วย แจ้ง พนักงาน ให้ หน่อย
44,2099,ไม่เป็นไร หรอก
45,2100,ฝนตก ทั้งวัน
46,2101,เรา   มี   โปร   ซื้อ   หนึ่ง   แถม   หนึ่ง
47,2102,เรา จะ เอา แบบ ไม่ ใส่   น้ำตาล
48,2103,ฉัน จะ ไป เยี่ยม พี่ชาย ที่ กรุงเทพฯ
49,2104,ฉัน จะ ไป กรุงเทพ อาทิตย์ หน้า
50,2105,ฉัน จะ ไป ตลาด ซื้อ หมู
51,2106,เรา ต้อง ตัดสินใจ ตอนนี้ ไหม
52,2107,คิดถึง ครอบครัว ไหม
53,2108,อย่า เล่น โทรศัพท์ มาก นะ
54,2109,ฉัน อยาก กิน ข้าวเหนียว
55,2110,จะ ไป ไหน
56,2111,เรา จะ ทำ อะไร ต่อ
57,2112,เรา จะ ดู เมนู ก่อน
58,2113,ใช้ คูปอง ลดราคา ได้ ไหม
59,2114,ฉัน กำลัง ฟัง วิทยุ สถานี บ้าน เรา สนุก มาก
60,2115,ไปดู ตะวันตกดิน ริม โขง
61,2116,ไอเดีย นี้ สร้างสรรค์ มาก
62,2117,พวกเรา จะ ไป ตกปลา ที่ ลำธาร
63,2118,ใช่ไหม   ไป ส่ง เรา ไหม
64,2119,ไป โรงพยาบาล ด้วยกัน ไหม
65,2120,ไม่ต้อง เป็นห่วง
66,2121,ฉัน อยากได้ เสื้อ สี ฟ้า
67,2122,ต้อง รอ คิว นาน แค่ ไหน
68,2123,พวกเรา จะ ไป งานแต่ง เพื่อน
69,2124,ไม่ต้อง กังวล
70,2125,ลืม ปิดประตู บ้าน
71,2126,มัน คือ อะไร
72,2127,เธอ รู้ ร้าน ซ่อม จักรยาน ไหม
73,2128,พวกเรา   มา เล่น เกม กัน
74,2129,อย่า ลืม เอา ข้าว ไป กิน ด้วย
75,2130,เธอ อยาก กิน อะไร
76,2131,อาหาร อยู่ ที่ไหน
77,2132,ไม่ รู้ ว่า จะ ไป ไหน ดี
78,2133,ไม่ต้อง ห่วง นะ
79,2134,ฝนตก แล้ว เอา ร่ม ไป ด้วย นะ
80,2135,สินค้า ตัว นี้ ขายดี ไหม
81,2136,งานศิลปะ นี้ เข้าใจยาก
82,2137,ฉัน จะ ไป ตลาด ซื้อ ไก่
83,2138,เธอ ไป ทำ อะไร มา
84,2139,ฉัน กำลังจะ ไป เล่น กีฬา
85,2140,พรุ่งนี้ ฉัน ว่าง
86,2141,ราคา   น้ำมัน ขึ้น สูง มาก
87,2142,เรา จะ มาสาย ขอ แจ้ง ล่วงหน้า
88,2143,ฉัน อยาก ไป นอน โฮมสเตย์
89,2144,รอ ฉัน แป๊บ หนึ่ง กำลัง ไป
90,2145,เธอ ชอบ กิน อาหาร อีสาน ไหม
91,2146,เธอ จะ ไป ไหน มา
92,2147,มี บริการ จัดหา เชฟ ทำอาหาร ที่ บ้าน ไหม
93,2148,ฉัน   กำลัง   ยุ่ง   มาก
94,2149,บัตรเครดิต ใช้ได้ ไหม
95,2150,ฉัน อยาก ไปเที่ยว ต่างจังหวัด
96,2151,ฉัน รู้สึก รัก ดีใจ มาก ที่ ได้ กลับมา เยี่ยม บ้าน หลังจาก ไม่ ได้ กลับ นาน
97,2152,สามารถ จอง ออนไลน์ ได้ ไหม
98,2153,ฉัน ชอบ ดู หนัง แนว ตลก มัน ทำให้ ฉัน หัวเราะ ได้ เยอะ
99,2154,วันวาน ไป ไหน มา
100,2155,อย่า ลืม ใส่ หมวก กันแดด นะ
101,2156,สบายดี ไหม
102,2157,เรา จะ ไป ฝากเงิน ที่ ธนาคาร
103,2158,จะ พา ลูก ไป เล่น ที่ สนามเด็กเล่น
104,2159,พบ ไข้หวัด ระบาด ใน พื้นที่
105,2160,กินข้าว แล้ วจะ ไป ไหน
106,2161,อย่า เล่น น้ำฝน มาก นะ
107,2162,รีบ มาน หา ฉัน หน่อย
108,2163,มา ดู เหมือนเดิม นะ
109,2164,อากาศ ดี ไม่ หนาว
110,2165,อากาศ เย็น ดีมาก
111,2166,อย่า ลืม
112,2167,เรา   มีนัด   หมอ   พรุ่งนี้
113,2168,ขอ เส้นทาง หน่อย
114,2169,ฉัน จะ ไป เยี่ยม แม่
115,2170,ทำ แบบ นั้น ดี ไหม
116,2171,ร้อน มาก จน อยาก ไป เล่น น้ำ
117,2172,อากาศ หนาว แล้ว นะ
118,2173,จะ พา ไป กิน อาหาร ร้าน ดัง
119,2174,เอา เสื้อกันฝน ไป ด้วย นะ
120,2175,น้องสาว ทำ ข้าวจี่ ใส่ไข่ ย่าง ไฟ หอ มมาก กิน แล้ว อิ่ม อร่อย    ###   Request : น้องสาว ทำ ข้าวจี่ ใส่ไข่ ย่าง ไฟ หอ มมาก กิน แล้ว อิ่ม อร่อย
121,2176,ต้อง กิน ยา จน หมด หรือเปล่า
122,2177,อย่า ขัดจังหวะ ตอนที่ คนอื่น พูด
123,2178,ช่วย ดู ของ ให้ หน่อย ฉัน จะ ไป ซื้อ ของ
124,2179,ถึง บ้าน แล้ว
125,2180,รัก เธอ มาก
126,2181,เธอ นี่ ช่าง ใจดี    ###   Response : เธอ นี่ ช่าง ใจดี
127,2182,แต่เช้า จะ ไป ไหน
128,2183,ฉัน อยาก ไปดู คอนเสิร์ต
129,2184,แผ่นดินไหว   ขนาดเล็ก   เกิดขึ้น   ใน ภาคเหนือ
130,2185,ฉัน จะ ไป ซื้อ น้ำแข็ง
131,2186,ฉัน อยาก ใช้ บริการ เช่า รถ
132,2187,ฉัน อยากได้ หมวก กันแดด
133,2188,ทำ ประกัน สุขภาพ ไหม
134,2189,พบ   แหล่ง   น้ำแร่   ธรรมชาติ   ใหม่
135,2190,ใคร จะ มา ด้วย
136,2191,รับ ชำระเงิน ผ่าน แอ ป มือถือ ไหม
137,2192,อากาศ ร้อน มาก
138,2193,นักเรียน บ้าน เรา คว้ารางวัล วิทยาศาสตร์
139,2194,โปรเจค นี้ มีปัญหา หลาย
140,2195,เธอ ชอบ ไปเที่ยว ตลาด เช้า หรือว่า ตลาด เย็น มากกว่า กัน
141,2196,ไม่ต้อง ทำ เยอะ คุณ พักผ่อน ให้ เต็มที่ ก่อน นะ
142,2197,ฉัน จะ ซื้อ เนื้อวัว ครึ่ง กิโล
143,2198,เธอ อยาก กิน แบบ ไหน ฉัน จะ ไป ซื้อ ให้ เลย นะ
144,2199,เธอ มี เบอร์โทรศัพท์ ไหม
145,2200,ฉัน อยาก ถาม เพิ่ม
146,2201,ฝนตก แล้ว
147,2202,เดินเล่น รอบ เมือง กัน ไหม
148,2203,ใช่ไหม   ไปเที่ยว สวนสัตว์ พรุ่งนี้
149,2204,ฉัน จะ ซื้อ มือถือ ใหม่
150,2205,อย่า ลืม เอา บัตรประชาชน
151,2206,ของ อยู่ ตลาด นี้ สด กว่า ตลาด อื่น ไหม
152,2207,วันนี้ ฝนตก
153,2208,อยู่ดี มีเงิน
154,2209,สถานี อยู่ ทาง ไหน
155,2210,วันนี้ มี โปรโมชั่น ไหม
156,2211,อาหาร ที่ บ้าน อร่อย ไหม
157,2212,พวกเรา   มา ช่วยกัน ปลูก ต้นไม้
158,2213,ฉัน อยากได้   ปลาแดก   ที่ ดี
159,2214,ส่ง ข้อความ มาหา ฉัน หน่อย
160,2215,ขอ   สอบถาม   เกี่ยวกับ   นโยบาย   การ   รับคืน   สินค้า   ถ้า   ของ   ใช้แล้ว   เปลี่ยน   ได้ ไหม
161,2216,รีบ ไป เถอะ เดี๋ยว สาย
162,2217,ร้าน นี้ มี บริการ ล้างรถ ไหม
163,2218,ถ้า ของเสีย เปลี่ยน คืน ได้ ไหม
164,2219,พูด มา หน่อย
165,2220,ฉัน ไม่ มีเงิน
166,2221,พี่ จะ ไปเที่ยว ตลาดนัด
167,2222,ฉัน คิดถึง แม่ มาก
168,2223,วันนี้ อากาศ ร้อน มาก อยาก กิน น้ำแข็ง ใส ให้ เย็น ชื่นใจ
169,2224,รีบ มา นั่ง กินข้าว
170,2225,เรา จะ ไป นอน บ้าน ยาย
171,2226,หมา ตัว นี้ ดุ จัง
172,2227,สินค้า นี้ สามารถ ใช้ เป็น ของขวัญ สำหรับ ผู้ใหญ่ ได้ ไหม
173,2228,ร้าน ขาย โทรศัพท์ อยู่ ที่ไหน
174,2229,เรา จะ ไป กินข้าว ด้วยกัน ไหม
175,2230,ฉัน ง่วงนอน แล้ว
176,2231,จะ ไป ตลาดนัด ก่อน ไปเที่ยว ไหม
177,2232,จะ ไป งานแต่งงาน กัน ไหม
178,2233,ช่วย ฉัน หน่อย
179,2234,ฉัน จะ ไปดู หมอลำ ซิ่ง
180,2235,ฉัน   หา ซื้อ   เครื่องสำอาง
181,2236,ฉัน จะ ไป นอน ก่อน นะ
182,2237,ช่วยดูแล ลูก ฉัน หน่อย แป๊บ หนึ่ง
183,2238,คุณ ไป โรงเรียน กี่ โมง
184,2239,คิดถึง นะ
185,2240,มะม่วง   สุก   กิโล ละ กี่ บาท
186,2241,ไป เล่น บอล กัน ไหม
187,2242,ฉัน อยาก เปิด เบอร์ ใหม่
188,2243,กิน เผ็ด ได้ ไหม
189,2244,เธอ จะ ไป ตลาด อยู่ ไหม
190,2245,ฉัน จะ ไป ตลาด ซื้อ ผัก
191,2246,สินค้า ตัว นี้ เป็น รุ่นใหม่ ล่าสุด หรือ เป็น ของค้าง สต็อก
192,2247,ฉัน ชอบ ไป เยี่ยม ย่า ทุก เสาร์ เพราะว่า ย่า รัก ฉัน มาก
193,2248,เธอ อยู่ ทาง ไหน
194,2249,บันทึก การประชุม อยู่ ที่ไหน
195,2250,ฉัน จะ ไป ทำงาน ที่ เมือง   ขอนแก่น   สัปดาห์ หน้า ไม่ รู้ ว่า จะ เป็น ยังไง
196,2251,ขอให้ เรา ปิดประชุม ตรงนี้
197,2252,ถึง แล้วก็ หา ที่พัก ก่อน
198,2253,งานบุญ ใหญ่ เริ่ม ขึ้น แล้ว วันนี้
199,2254,อย่า คิดมาก
200,2255,เรา   เป็น พี่น้อง กัน
201,2256,เธอ จะ ไม่ ไปดู หนัง เหรอ
202,2257,คุณ   ทำ แบบนี้ หน่อย
203,2258,เธอ   ไป ไหน มา
204,2259,ไป   นา   กับ   พ่อ
205,2260,น้ำหอม   ขวด นี้ หอม ไหม
206,2261,จะ ไป ดำน้ำ ดู ปะการัง
207,2262,เธอ รู้จัก หมู่บ้าน นี้ ไหม
208,2263,ฉัน รัก เธอ
209,2264,ใคร จะ ไป ส่ง น้อง เรียน
210,2265,ตำรวจ ฟ้า ว   กำลัง ดูแล ความปลอดภัย ปีใหม่
211,2266,ขอ คุย กับ ผู้จัดการ ได้ ไหม
212,2267,ฉัน กำลัง ทำ ขนม พื้นบ้าน   อยาก ลอง ชิม ไหม
213,2268,เย็น นี้ จะ ไป งานบุญ ไหม
214,2269,โรงพยาบาล   เปิด แผนก รักษาโรค เฉพาะทาง
215,2270,ยินดีต้อนรับ นะ
216,2271,สภาพอากาศ วันนี้ ร้อน มาก
217,2272,ฉัน อยาก ซื้อ รองเท้า ใหม่
218,2273,จะ ไป เยี่ยม เพื่อน ที่ โรงพยาบาล
219,2274,สี นี้ สวย มาก
220,2275,ไป ซื้อ ผัก ให้ แม่ หน่อย
221,2276,ไป เล่น น้ำ กัน
222,2277,เรื่อง นี้ เรา คุย กัน หลาย รอบ แล้ว
223,2278,ฉัน ชอบ ไป เดิน ตลาดนัด หา ของกิน อร่อย   ๆ
224,2279,ฉัน อยาก เริ่ม ออกกำลังกาย
225,2280,ถ้า เกิด ปัญหา หลังจาก ซื้อ ไป แล้ว ฉัน สามารถ ติดต่อ ใคร เพื่อ ขอรับ การ ช่วยเหลือ ได้
226,2281,เธอ มี เวลาว่าง ไหม
227,2282,พรุ่งนี้ จะ ไปดู แข่ง ฟุตบอล คุณ จะ ไป เชียร์ ทีม โปรด ไหม
228,2283,บริการ ช้า เนื่องจาก คน เยอะ
229,2284,สามารถ นัด พนักงาน มา ติดตั้ง เครื่องใช้ไฟฟ้า ได้ ไหม
230,2285,ทำ อะไร อยู่
231,2286,จะ ไป ตรวจ ตา ที่ไหน
232,2287,ไฟไหม้   โทร แจ้ง ดับ เพลิง เร็ว
233,2288,ไป ด้วยกัน ไหม
234,2289,วันนี้ จะ ไป ซื้อ ของฝาก ให้ พ่อแม่ คิดไม่ถึง เลย ว่า จะ ซื้อ อะไร ดี
235,2290,ฉัน จะ ไปหา หมอ
236,2291,พรุ่งนี้ จะ ไปเที่ยว วัด
237,2292,ฉัน ชอบ อันนี้ มาก
238,2293,ข่าวบันเทิง วันนี้ เป็น ยังไง
239,2294,ทิวทัศน์ ข้างทาง สวย มาก
240,2295,ฉัน อยาก ไปหา เพื่อน
241,2296,ส่ง ข้อความ หา ฉัน หน่อย
242,2297,ไป กินข้าว กัน
243,2298,ฉัน อยาก นอน แล้ว
244,2299,ร้าน นี้ รับฝาก สัตว์เลี้ยง ไหม
245,2300,จะ พา แม่ ไป ซื้อ ของ
246,2301,คืน เงินได้ ไหม
247,2302,ถ้า ฉัน ซื้อ สินค้า จำนวนมาก   ๆ   จะ ได้รับ ราคาส่ง หรือ ส่วนลด พิเศษ ไหม
248,2303,พวกเรา   มา เจอกัน ที่นี่     เด้อ    ###   Response : นะ
249,2304,ขอให้ เธอ สรุป หน่อย
250,2305,วันนี้ รถติด มาก
251,2306,แผน นี้   มี ความเป็นไปได้ สูง
252,2307,ไม่ค่อย เข้าใจ
253,2308,ฝน กำลังจะ ตก แล้ว รีบ เข้า บ้าน
254,2309,ไม่ต้อง ทำ เร็ว เกินไป นะ   ค่อยๆ   ทำ
255,2310,ฉัน จะ ไป ซื้อ ต้ม เลือดหมู
256,2311,รอ ฉัน สักครู่ กำลัง มา
257,2312,รีวิว สินค้า ดี ไหม
258,2313,ทำ อะไร อยู่
259,2314,สินค้า ใหม่ เมื่อไหร่ จะ ลง
260,2315,ไปทางลัด หน่อย จะ เร็ว กว่า
261,2316,ฉัน อยาก ไปเที่ยว โฮมสเตย์
262,2317,อย่า ลืม นำ หมวก ไป ด้วย นะ
263,2318,อย่า ออก ไป ไกล นะ
264,2319,แบบ ไหน ก็ได้ ฉัน ไม่ เลือก
265,2320,เธอ กำลัง ทำ อะไร อยู่
266,2321,ราคา หมู แพง ขึ้น ชาวบ้าน เดือดร้อน
267,2322,พยาบาล ให้ยา ผิด ไหม
268,2323,ใช่ไหม
269,2324,ซื่อสัตย์ จัง เลย นะ
270,2325,ทีม ฟุตบอล บ้าน เรา ชนะ การแข่งขัน
271,2326,อย่า ลืม ล็อค ประตู บ้าน
272,2327,ช่วย จับ ของ ให้ หน่อย ฉัน ถือ ของ เยอะ
273,2328,ฉัน อยาก ซื้อ พริก แกง แดง
274,2329,วันนี้ จะ ไป ทำบุญ
275,2330,ลดราคา ให้ หน่อย ได้ ไหม ถ้า ซื้อ สอง ตัว หรือ มากกว่า นี้ ลด เพิ่ม ได้ ไหม
276,2331,เรา มา ฝึก เล่น ดนตรี ด้วยกัน
277,2332,ถ้า ซื้อ ครบ จำนวน ที่ กำหนด แล้ว สามารถ แล กรับ ของแถม ได้ ไหม
278,2333,บ้าน คุณ อยู่ ที่ไหน
279,2334,คิดถึงบ้าน
280,2335,ไป ตลาด กัน
281,2336,ไป ส่ง ฉัน ที่ สนามบิน หน่อย
282,2337,อย่า ลืม เอา กล้องถ่ายรูป มา ด้วย นะ
283,2338,ทำ ยังไง ถึง จะ ได้เงิน เยอะ
284,2339,อย่า ลืม เอา พาสปอร์ต นะ
285,2340,เธอ   นั่ง ก่อน นะ
286,2341,เธอ จะ ไป ซื้อ ของตลาด ไหม
287,2342,เธอ จะ ไป ออกกำลังกาย ตอนเช้า หรือว่า เย็น ดี
288,2343,ฉัน จะ ไป เล่น ฟุตบอล ที่ สนาม ใหม่   ฟัง มา ว่า มัน กว้าง และ ดีมาก
289,2344,ฉัน อยู่ บ้าน
290,2345,เธอ ชอบ กิน ก๋วยเตี๋ยว ไหม
291,2346,ฝน ตกหนัก มาก ขับรถ ดี ๆ นะ
292,2347,ตำรวจ   เตือนภัย แก๊ง มิจฉาชีพ หลอก โอน เงิน
293,2348,รอ ก่อน เดี๋ยว เรา จะ ไป พร้อมกัน
294,2349,กันกระแทก ไหม
295,2350,มะม่วง หวาน กิโล ละ กี่ บาท
296,2351,อยากได้ ของฝาก
297,2352,แบบ ไหน ก็ได้
298,2353,ฉัน อยาก ดื่ม กาแฟเย็น
299,2354,คืนนี้ มี งานวัด ที่ หมู่บ้าน ข้างๆ   จะ ไป เล่น ซุ้ม ปา เป้า ให้ได้ รางวัล
300,2355,เรา จะ ทำ ยังไง ดี
301,2356,เธอ รู้จัก เขา ไหม
302,2357,ฉัน กำลังจะ ไป ตลาด ซื้อ ของ มา ทำอาหาร   เพราะว่า วันนี้ ไม่ มี อะไร กินที่ บ้าน เลย
303,2358,ใช้กับ ทุก อุปกรณ์ ไหม
304,2359,พวกเรา จะ ไป เล่น น้ำตก
305,2360,ไปดู หนัง กัน ไหม
306,2361,เรา   มี เวลา ประชุม นาน แค่ ไหน
307,2362,กินข้าว แล้วไป ทำงาน
308,2363,เธอ จะ อยู่ ที่นี่ อีก นาน ไหม
309,2364,ขอ ใช้ เครื่อง ป ริ้น เต อร ์ ด้วย ได้ ไหม
310,2365,ขอให้ เธอ ช่วย อธิบาย อีกครั้ง
311,2366,เขา ไม่ พูด ไทย
312,2367,มี โปรโมชั่น พิเศษ สำหรับ วันนี้ ไหม
313,2368,ฉัน ลืม เอา ของ มา
314,2369,งานแสดงสินค้า ท้องถิ่น ได้รับ ความนิยม
315,2370,พี่ จะ พา เธอ ไปเที่ยว น้ำตก วัน เสาร์ นี้ เธอ อย่า ลืม เตรียม ของ ไป นะ
316,2371,อยู่ ไหน แล้ว
317,2372,ชอบ ฟัง หมอลำ
318,2373,เธอ เก่ง มาก สม แล้ว ที่ ประสบความสำเร็จ
319,2374,เธอ มี   ข้าวสาร   ขาย ไหม
320,2375,ของกิน ร้าน นี้ ใหม่ ทุกวัน ไหม
321,2376,ไป เถอะ   อย่า รอ นาน
322,2377,เธอ จะ มา อีก ไหม
323,2378,ฉัน จะ ไป ไหน ก็ ไม่ รู้
324,2379,กินข้าว หรือยัง
325,2380,ฉัน อยาก ไปเที่ยว น้ำตก หน้าฝน น้ำ จะ ไหล แรง สวย มาก
326,2381,ฉัน รีบ กลับบ้าน ก่อน นะ แม่ เพิ่น โทร มา ตาม แล้ว
327,2382,มี บริการ จัดส่ง ถึง บ้าน ไหม
328,2383,คิดถึงบ้าน มาก
329,2384,นี่   ยัง ต้อง ปรับปรุง อีก มาก
330,2385,เรา จะ เปิดบัญชี ธนาคาร ออนไลน์
331,2386,ก็ จะ ไปหา แม่
332,2387,ไม่ เห็นด้วย กับ ข้อเสนอ นี้
333,2388,ขอ ใช้ บริการ โอน เงิน ด่วน
334,2389,ให้   น้ำเกลือ   ชาย อยู่   หลาย   ชั่วโมง
335,2390,พวกเรา จะ ไป เล่น กีฬา
336,2391,ไป นอน ก่อน นะ ง่วง มาก
337,2392,ต้อง เดินทางไกล มาก ไหม
338,2393,เมนู แนะนำ คือ อะไร
339,2394,สู้   ๆ นะ
340,2395,เธอ จะ เอา แบบ แพ็คเกจ ใหญ่ ไหม
341,2396,คุณ   ไป ด้วยกัน ไหม
342,2397,เธอ จะ ทำ อะไร พรุ่งนี้
343,2398,ฉัน อยาก ลอง กิน แกง เห็ด
344,2399,วันนี้ มี ส่วนลด พิเศษ ไหม
345,2400,ช่าง สวย จัง
346,2401,มี   โต๊ะ ว่าง ไหม
347,2402,ฉัน จะ พา แม่ ไปเที่ยว วัด
348,2403,ฉัน ซื้อ เสื้อ ตัวใหม่ ให้ หลาน เธอ ดีใจ มาก
349,2404,เธอ มี เบอร์ โทร ไหม
350,2405,เธอ มี สินค้า ตัว นี้ ใน สต็อก ไหม
351,2406,รถเมล์ วันนี้ แน่น มาก
352,2407,พวกเรา จะ ไปดู หมอลำ คืนนี้
353,2408,วันนี้ หุ้น ตก เยอะ
354,2409,ช่าง เป็น ดีใจ มาก
355,2410,เธอ ชอบ กิน ผลไม้ หรือเปล่า
356,2411,เธอ   นอน แต่เช้า หรือเปล่า
357,2412,เรา จะ ไป ตลาด วันนี้
358,2413,เธอ มี หมูสามชั้น ไหม
359,2414,จะ พา ครอบครัว มา เยี่ยม ไหม
360,2415,อยู่ บ้าน ก็ เหงา
361,2416,เพื่อน ๆ   มาหา ฉัน ที่ บ้าน นะ ฉัน ทำอาหาร ไว้ ให้ แล้ว
362,2417,อากาศ ร้อน มาก ขอ แอร์ หน่อย
363,2418,กำลัง รู้สึก อย่างไร ตอนนี้
364,2419,สินค้า ตัว นี้ เป็น ของ นำเข้า ไหม
365,2420,ฉัน ไม่ มีเงิน เลย
366,2421,เธอ ติดตาม ข่าวสาร จาก ไหน
367,2422,ฉัน จะ ไป ทำอาหาร ที่ ตลาดสด คุณ จะ ฝาก ซื้อ อะไร ไหม
368,2423,พรุ่งนี้ จะ ไปหา ปลา
369,2424,กาแฟ ใช้ เมล็ด จาก บราซิล ไหม
370,2425,ถ้า ซื้อ หลาย ชิ้น ลด เพิ่ม ได้ ไหม
371,2426,เธอ คิด จัง อะไร
372,2427,ทำงาน อยู่ ไหม
373,2428,ช่วย ฉัน ยก ของ หน่อย
